year,week,county,aqi,so2,co,o3,pm10,pm25,no2,no,nox,auri_visits,ili_visits,opna_visits,temp_c,rh_pct,pop_cnt
2024,7,南投縣,63.86227545,1.153722334,0.321285141,29.07364185,32.48795181,,,,,8863,2002,894,18.11956088,69.0408998,472299
2024,7,嘉義市,72.97005988,1.785542169,0.364819277,32.88253012,42.11445783,,,,,6408,1227,477,19.41317365,64.96732026,262177
2024,7,嘉義縣,86.2994012,2.288484848,0.331903323,35.15226586,50.65361446,,,,,11160,1268,691,18.73682635,69.79216867,478786
2024,7,基隆市,60.4011976,1.084375,0.38630303,28.76545455,29.06024096,,,,,6663,961,539,16.81197605,77.91616766,361441
2024,7,宜蘭縣,47.28143713,0.70813253,0.259246988,36.49939394,22.61445783,,,,,9475,2088,1166,19.1751497,70.40419162,449212
2024,7,屏東縣,65.63173653,1.036757301,0.28327291,46.06959596,35.2286002,,,,,16636,2637,1096,21.46467066,66.06187625,789239
2024,7,彰化縣,72.29580838,1.708937198,0.335736715,33.24009662,46.17831325,,,,,27468,4851,1900,18.60943114,70.12325349,1225675
2024,7,新北市,58.711193,1.012871747,0.413762192,33.32108686,30.87919776,,,,,85352,13535,4570,17.92767647,68.45967459,4047001
2024,7,新竹市,65.89221557,1.495783133,0.39060241,32.59393939,34.57317073,,,,,7649,2277,909,17.65361446,79.31677019,457242
2024,7,新竹縣,59.18862275,0.942900302,0.264728916,36.91087613,29.28614458,,,,,12633,2007,813,17.46706587,68.36666667,594641
2024,7,桃園市,59.65469062,1.394567404,0.38408862,34.01350806,34.20100503,,,,,41113,8320,2548,17.47744511,67.61816367,2338648
2024,7,澎湖縣,61.26946108,0.784848485,0.256606061,51.73433735,27.80606061,,,,,2109,106,36,19.4257485,70.16766467,107901
2024,7,臺中市,64.46347305,1.536654367,0.361587302,30.03670732,33.52926829,,,,,59784,15295,7276,18.56161677,60.76656566,2860601
2024,7,臺北市,58.59452524,1.324567474,0.432919897,33.19161625,28.36183074,,,,,40429,7779,3626,17.56397206,67.6439692,2490869
2024,7,臺南市,75.65508982,1.563559322,0.336642599,34.7235792,45.95504253,,,,,32869,7344,3836,19.68667665,65.78012048,1858651
2024,7,臺東縣,43.98802395,0.837575758,0.247009063,35.1673716,21.56024096,,,,,4481,575,243,19.77694611,69.38622754,210219
2024,7,花蓮縣,48.81437126,0.864242424,0.276987952,34.74638554,19.46666667,,,,,5659,1153,502,19.58502994,70.86227545,315374
2024,7,苗栗縣,53.86427146,1.54516129,0.282555332,34.39216867,30.25903614,,,,,13610,1694,579,16.78203593,70.96625767,532854
2024,7,連江縣,86.49101796,1.419277108,0.359698795,44.15963855,48.73493976,,,,,77,22,18,12.56167665,72.29090909,13950
2024,7,金門縣,92.11377246,1.747798742,0.382704403,40.96832298,41.47590361,,,,,1442,90,30,15.76467066,64.12962963,143601
2024,7,雲林縣,76.7739521,1.624096386,0.321960784,36.3279879,48.44578313,,,,,18550,2210,1065,18.63802395,70.70309381,658427
2024,7,高雄市,73.42422847,1.570862471,0.409995353,35.58455095,44.39035698,,,,,58701,8340,2623,21.24347215,63.83219924,2731412
2024,8,南投縣,57.05823293,1.067068273,0.290381526,26.49437751,31.27272727,,,,,11405,2262,1044,22.59787879,73.46464646,472299
2024,8,嘉義市,51.53012048,1.973939394,0.310060241,24.33878788,32.53939394,,,,,7447,1619,685,23.58121212,70.47272727,262177
2024,8,嘉義縣,56.3627451,1.85839599,0.276741855,24.64343434,40.08181818,,,,,12359,1337,686,23.19333333,78.43030303,478786
2024,8,基隆市,44.1746988,1.080981595,0.466768293,17.46848485,18.99390244,,,,,8526,1361,795,19.36829268,89.3597561,361441
2024,8,宜蘭縣,29.4126506,0.586322188,0.263363636,21.7836858,17.45757576,,,,,10952,2798,1567,21.82090909,83.25757576,449212
2024,8,屏東縣,41.5251004,0.704259635,0.198672746,31.67621457,28.57633974,,,,,19218,3448,1383,24.76505051,74.13737374,789239
2024,8,彰化縣,54.66024096,1.64875,0.29864831,24.202267,39.3225,,,,,30818,5601,2321,22.98257576,80.03030303,1225675
2024,8,新北市,48.08248378,1.082460243,0.479046283,22.37720691,23.39235127,,,,,103001,16952,5960,20.77379247,82.98947658,4047001
2024,8,新竹市,52.93975904,1.341818182,0.388606061,22.15151515,23.29268293,,,,,9242,3531,1446,20.93536585,81.49390244,457242
2024,8,新竹縣,49.76506024,0.802134146,0.286139818,24.98969697,22.09118541,,,,,15850,2927,1156,20.52878788,82.93939394,594641
2024,8,桃園市,49.18574297,1.313761468,0.444333672,21.4444898,26.44523327,,,,,51042,10694,3414,20.39141414,82.66242424,2338648
